Id del anuncio;Título;Tipo de inmueble;Tipo de vendedor;Habitaciones;Barrio;Municipio;Euros/m2;Metros cuadrados construidos;Obra nueva (Sí/No);Parking (Sí/No);Jardín (Sí/No);Precio
105838682;Casa independiente;Chalet;Profesional;8;-;Llanes;2016;486;No;No;Sí;980000
106892690;Chalet adosado;Chalet;Profesional;4;-;Llanes;1600;225;No;Sí;Sí;360000
99387193;Piso en calle Gil de Jaz;Piso;Profesional;6;Parque San Francisco-Uría;Oviedo;2151;232;No;Sí;No;499000
106797067;Casa independiente en travesía de los Acebos, 1;Chalet;Profesional;3;Somió;Gijón;3377;281;No;Sí;Sí;949000
107033608;Piso en calle Doctor Marañón;Piso;Profesional;3;-;Avilés;1728;103;No;Sí;No;178000
104014769;Ático en calle Catedratico Rodrigo Uria;Ático;Profesional;3;Buenavista;Oviedo;2283;92;No;Sí;No;210000
106931672;Piso en plaza Seis de Agosto, 3;Piso;Profesional;4;Centro - Puerto;Gijón;2601;184;No;No;No;478500
107357240;Piso en calle Ribagorza, 10;Piso;Profesional;3;El Llano;Gijón;2210;81;No;No;No;179000
105384262;Chalet en Soto de Abajo;Chalet;Profesional;6;-;Oviedo;722;194;No;No;No;140000
105502824;Casa independiente en de Casares a Arroyo s/n;Chalet;Profesional;4;Porceyo - Cenero;Gijón;1285;350;No;Sí;Sí;449900
106500508;Piso en calle Ventura Rodríguez;Piso;Profesional;4;Parque San Francisco-Uría;Oviedo;3125;176;No;Sí;No;550000
105834823;Chalet adosado en Lln-2;Chalet;Profesional;4;-;Llanes;1875;200;No;No;No;375000
106696404;Piso en calle Santa Susana;Piso;Profesional;4;Parque San Francisco-Uría;Oviedo;3194;155;No;No;Sí;495000
107060113;Piso en calle San Melchor de Quirós;Piso;Profesional;3;Centro - Puerto;Gijón;6014;146;No;No;No;878000
107221755;Piso en calle de Rosalía de Castro;Piso;Profesional;3;El Natahoyo;Gijón;1606;109;No;No;No;175000
107178339;Piso en calle Bermúdez de Castro, 19;Piso;Profesional;3;Teatinos-Los Prados;Oviedo;2375;104;No;No;No;247000
106381332;Piso en calle Bermúdez de Castro, 19;Piso;Profesional;3;Teatinos-Los Prados;Oviedo;2425;101;No;No;No;244900
103983714;Piso en calle Armando Ojanguren;Piso;Profesional;5;Salesas-Foncalada-Campoamor;Oviedo;2249;169;No;No;No;380000
106059214;Piso en calle Lorenzo Abruñedo;Piso;Profesional;3;Ciudad Naranco-Prados de La Fuente;Oviedo;2263;95;No;Sí;No;215000
102364876;Casa independiente en camino de les Campes;Chalet;Profesional;4;La Pedrera - Leorio - Huerces - Ruedes;Gijón;2235;162;No;Sí;Sí;362000
105024285;Casa independiente en carretera de Santurio;Chalet;Profesional;4;Cabueñes;Gijón;1957;649;No;Sí;Sí;1270000
105090100;Piso en calle Tenderina;Piso;Profesional;3;Cerdeño-El Palais-Mercadín;Oviedo;1470;115;No;Sí;No;169000
105797691;Chalet adosado en calle San Juan;Chalet;Profesional;9;El Llano Alto;Gijón;1196;250;No;No;Sí;299000
