tipo_inmueble,tipo_vendedor,barrio,municipio,distrito,precio,euros_m2,m2_construidos,habitaciones,banios,planta,latitud,longitud,ascensor,obra_nueva,piscina,terraza,parking,parking_incluido,aire_acondicionado,trastero,jardin,precio_por_habitacion,precio_por_bano,densidad_precio
Duplex,Particular,Desconocido,Cangas de Narcea,Desconocido,77000.0,1222.0,63.0,1.0,1.0,3,43.1746686,-6.5518582,0,0,0,1,0,0,0,0,0,77000.0,77000.0,1222.2222222222222
Piso,Particular,Desconocido,Grado,Desconocido,80000.0,920.0,87.0,3.0,1.0,2,43.3870028,-6.0759685,0,0,0,0,0,0,0,0,0,26666.666666666668,80000.0,919.5402298850574
Piso,Particular,Desconocido,Aller,Desconocido,70000.0,1167.0,60.0,2.0,1.0,2,43.1593694,-5.6203693,1,0,0,0,0,0,0,1,0,35000.0,70000.0,1166.6666666666667
Piso,Particular,Fozaneldi-Tenderina,Oviedo,Fozaneldi-Tenderina-Ventanielles,110000.0,2750.0,40.0,1.0,1.0,2,43.3624612,-5.8325263,1,0,0,0,0,0,0,1,0,110000.0,110000.0,2750.0
Piso,Particular,HUCA-La Cadellada,Oviedo,Corredoria-Huca-Teatinos,160000.0,3333.0,48.0,1.0,1.0,5,43.3727912,-5.8297483,1,0,0,0,0,0,0,0,0,160000.0,160000.0,3333.3333333333335
Piso,Particular,Desconocido,Riosa,Desconocido,43000.0,614.0,70.0,3.0,1.0,3,43.2339829,-5.877152,0,0,0,0,0,0,0,0,1,14333.333333333334,43000.0,614.2857142857143
Piso,Particular,Desconocido,Aller,Desconocido,68000.0,1236.0,55.0,1.0,1.0,2,43.1056202,-5.5158019,1,0,0,0,0,0,0,0,1,68000.0,68000.0,1236.3636363636363
Piso,Particular,Desconocido,Aller,Desconocido,75000.0,1271.0,59.0,1.0,1.0,2,43.1043669,-5.51018,1,0,0,1,1,1,0,1,1,75000.0,75000.0,1271.1864406779662
Piso,Particular,Buenavista,Oviedo,Buenavista-Ería-Montecerrao,127000.0,2822.0,45.0,1.0,1.0,5,43.3532411,-5.8692653,1,0,0,0,1,1,0,1,1,127000.0,127000.0,2822.222222222222
Piso,Particular,Desconocido,Avilés,El Pozón - Villalegre - La Luz,135000.0,1350.0,100.0,3.0,2.0,1,43.5451042,-5.905848,1,0,0,0,1,0,0,1,1,45000.0,67500.0,1350.0
Piso,Particular,Desconocido,Aller,Desconocido,70000.0,636.0,110.0,3.0,2.0,4,43.1695544,-5.7396352,1,0,0,1,0,0,0,1,0,23333.333333333332,35000.0,636.3636363636364
Piso,Particular,Desconocido,Langreo,La Felguera,60000.0,822.0,73.0,3.0,1.0,5,43.3076601,-5.6923308,0,0,0,1,0,0,0,1,0,20000.0,60000.0,821.917808219178
Piso,Particular,Desconocido,Siero,Lugones,58000.0,644.0,90.0,3.0,1.0,2,43.3996764,-5.8111135,0,0,0,0,0,0,0,1,0,19333.333333333332,58000.0,644.4444444444445
Duplex,Particular,Desconocido,Llanes,Llanes,240000.0,2667.0,90.0,3.0,2.0,3,43.4224242,-4.7621795,0,0,0,1,1,1,0,0,1,80000.0,120000.0,2666.6666666666665
Piso,Particular,Desconocido,Avilés,El Pozón - Villalegre - La Luz,130000.0,1529.0,85.0,3.0,2.0,5,43.5386754,-5.9080123,1,0,0,0,1,1,0,1,1,43333.333333333336,65000.0,1529.4117647058824
Ático,Particular,Desconocido,Somiedo,Desconocido,120000.0,1667.0,72.0,2.0,2.0,4,43.0901377,-6.252476,1,0,0,1,1,1,1,1,1,60000.0,60000.0,1666.6666666666667
Piso,Particular,Desconocido,Laviana,Desconocido,115000.0,975.0,118.0,3.0,2.0,1,43.2431809,-5.5628863,0,0,0,0,1,1,0,1,0,38333.333333333336,57500.0,974.5762711864406
Piso,Particular,Desconocido,Cangas de Narcea,Desconocido,40000.0,444.0,90.0,3.0,1.0,3,43.1746686,-6.5518582,0,0,0,0,0,0,0,1,0,13333.333333333334,40000.0,444.44444444444446
Piso,Particular,Parque del Oeste,Oviedo,Buenavista-Ería-Montecerrao,135000.0,1688.0,80.0,2.0,2.0,1,43.3640087,-5.8771553,1,0,0,1,1,1,0,0,0,67500.0,67500.0,1687.5
Piso,Particular,Desconocido,Llanera,Desconocido,140000.0,1687.0,83.0,2.0,2.0,4,43.440767,-5.8165655,1,0,0,0,1,0,0,1,1,70000.0,70000.0,1686.7469879518073
Piso,Particular,Desconocido,Somiedo,Desconocido,89000.0,1187.0,75.0,2.0,2.0,1,43.0931057,-6.2546806,1,0,0,0,1,1,0,1,0,44500.0,44500.0,1186.6666666666667
Piso,Particular,Desconocido,Tineo,Desconocido,70000.0,700.0,100.0,3.0,2.0,2,43.3346612,-6.4067938,0,0,0,1,0,0,0,1,0,23333.333333333332,35000.0,700.0
Piso,Particular,Desconocido,Luarca - Valdés,Desconocido,35000.0,318.0,110.0,5.0,1.0,2,43.539557,-6.5441434,0,0,0,0,0,0,0,0,0,7000.0,35000.0,318.1818181818182
