Id del anuncio;Tipo de inmueble;Tipo de vendedor;Barrio;Municipio;Distrito;Precio;Euros/m2;Metros cuadrados construidos;Habitaciones;Baños;Planta;Latitud;Longitud;Ascensor (Sí/No);Obra nueva (Sí/No);Piscina (Sí/No);Terraza (Sí/No);Parking (Sí/No);Parking incluído en el precio (Sí/No);Aire acondicionado (Sí/No);Trastero (Sí/No);Jardín (Sí/No)
310905;Duplex;Particular;-;Cangas de Narcea;-;77000.0;1222.0;63;1.0;1.0;3;43,1746686;-6,5518582;No;No;No;Sí;No;No;No;No;No
316842;Piso;Particular;-;Grado;-;80000.0;920.0;87;3.0;1.0;2;43,3870028;-6,0759685;No;No;No;No;No;No;No;No;No
325749;Piso;Particular;-;Aller;-;70000.0;1167.0;60;2.0;1.0;2;43,1593694;-5,6203693;Sí;No;No;No;No;No;No;Sí;No
340311;Piso;Particular;Fozaneldi-Tenderina;Oviedo;Fozaneldi-Tenderina-Ventanielles;110000.0;2750.0;40;1.0;1.0;2;43,3624612;-5,8325263;Sí;No;No;No;No;No;No;Sí;No
400928;Piso;Particular;HUCA-La Cadellada;Oviedo;Corredoria-Huca-Teatinos;160000.0;3333.0;48.0;1.0;1.0;5;43,3727912;-5,8297483;Sí;No;No;No;No;No;No;No;No
441978;Piso;Particular;-;Riosa;-;43000.0;614.0;70;3.0;1.0;3;43,2339829;-5,877152;No;No;No;No;No;No;No;No;Sí
1645258;Piso;Particular;-;Aller;-;68000.0;1236.0;55;1.0;1.0;2;43,1056202;-5,5158019;Sí;No;No;No;No;No;No;No;Sí
1664001;Piso;Particular;-;Aller;-;75000.0;1271.0;59;1.0;1.0;2;43,1043669;-5,51018;Sí;No;No;Sí;Sí;Sí;No;Sí;Sí
1682576;Piso;Particular;Buenavista;Oviedo;Buenavista-Ería-Montecerrao;127000.0;2822.0;45;1.0;1.0;5;43,3532411;-5,8692653;Sí;No;No;No;Sí;Sí;No;Sí;Sí
1683708;Piso;Particular;-;Avilés;El Pozón - Villalegre - La Luz;135000.0;1350.0;100;3.0;2.0;1;43,5451042;-5,905848;Sí;No;No;No;Sí;No;No;Sí;Sí
1721709;Piso;Particular;-;Aller;-;70000.0;636.0;110;3.0;2.0;4;43,1695544;-5,7396352;Sí;No;No;Sí;No;No;No;Sí;No
1727824;Piso;Particular;-;Langreo;La Felguera;60000.0;822.0;73;3.0;1.0;5;43,3076601;-5,6923308;No;No;No;Sí;No;No;No;Sí;No
1730591;Piso;Particular;-;Siero;Lugones;58000.0;644.0;90;3.0;1.0;2;43,3996764;-5,8111135;No;No;No;No;No;No;No;Sí;No
1739768;Duplex;Particular;-;Llanes;Llanes;240000.0;2667.0;90.0;3.0;2.0;3;43,4224242;-4,7621795;No;No;No;Sí;Sí;Sí;No;No;Sí
1777894;Piso;Particular;-;Avilés;El Pozón - Villalegre - La Luz;130000.0;1529.0;85;3.0;2.0;5;43,5386754;-5,9080123;Sí;No;No;No;Sí;Sí;No;Sí;Sí
1784684;Ático;Particular;-;Somiedo;-;120000.0;1667.0;72;2.0;2.0;4;43,0901377;-6,252476;Sí;No;No;Sí;Sí;Sí;Sí;Sí;Sí
1811673;Piso;Particular;-;Laviana;-;115000.0;975.0;118;3.0;2.0;1;43,2431809;-5,5628863;No;No;No;No;Sí;Sí;No;Sí;No
1820564;Piso;Particular;-;Cangas de Narcea;-;40000.0;444.0;90;3.0;1.0;3;43,1746686;-6,5518582;No;No;No;No;No;No;No;Sí;No
1859462;Piso;Particular;Parque del Oeste;Oviedo;Buenavista-Ería-Montecerrao;135000.0;1688.0;80;2.0;2.0;1;43,3640087;-5,8771553;Sí;No;No;Sí;Sí;Sí;No;No;No
1863432;Piso;Particular;-;Llanera;-;140000.0;1687.0;83;2.0;2.0;4;43,440767;-5,8165655;Sí;No;No;No;Sí;No;No;Sí;Sí
